,Winner
4075,Red
189,Blue
3247,Blue
3634,Blue
2243,Blue
2837,Red
6430,Red
3925,Red
6475,Red
2894,Red
6239,Red
6370,Red
860,Red
6409,Red
241,Blue
5715,Red
2594,Red
888,Red
3102,Blue
1663,Blue
3393,Red
1665,Red
95,Blue
5819,Red
3387,Red
4823,Blue
3460,Red
4272,Blue
1956,Red
1484,Red
6674,Red
3934,Blue
404,Red
5670,Red
4899,Red
2856,Red
1136,Red
5777,Red
4927,Blue
4090,Red
74,Red
6532,Red
4252,Blue
4127,Blue
5049,Red
4372,Blue
1898,Blue
1702,Red
1326,Blue
5742,Red
4449,Red
2877,Blue
4394,Blue
1176,Red
4021,Red
3347,Red
2047,Red
3184,Blue
1621,Red
3190,Red
3630,Red
254,Red
1229,Red
4708,Red
3819,Red
1274,Blue
4440,Blue
162,Blue
219,Red
1434,Red
5631,Red
2159,Blue
6542,Red
3812,Red
1372,Red
1156,Red
2512,Blue
4493,Red
5168,Blue
2937,Red
973,Red
1402,Red
1016,Blue
3847,Red
5736,Red
2486,Blue
4624,Red
4328,Red
2980,Red
605,Blue
4976,Blue
4256,Blue
1993,Red
2156,Blue
1264,Blue
1512,Blue
5312,Red
6720,Red
3119,Red
5960,Red
3031,Red
1296,Red
4065,Red
1637,Red
1408,Blue
4990,Red
4047,Red
4818,Red
4055,Red
1861,Blue
3944,Red
3266,Red
2589,Red
5921,Red
5457,Red
2714,Blue
6624,Red
4696,Red
2221,Red
6583,Red
3659,Blue
6001,Red
1124,Red
4858,Blue
2679,Red
4136,Red
169,Blue
1291,Red
823,Blue
6607,Red
4365,Red
6120,Red
6446,Red
2803,Red
6289,Red
5552,Red
5365,Blue
2874,Blue
2836,Red
4844,Blue
5865,Red
665,Red
3873,Red
3759,Red
2888,Blue
887,Blue
2774,Red
1214,Red
4871,Red
5586,Red
3757,Blue
5400,Blue
5805,Red
2919,Red
2985,Red
5143,Red
2371,Blue
1379,Blue
3711,Blue
900,Blue
2273,Red
6659,Red
1598,Red
5325,Red
4249,Blue
391,Blue
3473,Blue
5645,Red
1469,Blue
1865,Red
596,Blue
1848,Blue
3205,Red
751,Red
6238,Red
1213,Red
626,Red
6011,Red
3954,Red
1553,Red
1840,Red
693,Blue
4758,Red
5713,Red
2515,Blue
4188,Red
6026,Red
4033,Red
2063,Blue
3877,Red
103,Blue
3973,Red
818,Red
6660,Red
4180,Red
192,Blue
4442,Red
763,Red
474,Blue
1105,Red
6670,Red
4471,Blue
2977,Blue
3556,Red
6187,Red
5974,Red
4988,Blue
1647,Red
3842,Red
4161,Blue
1413,Red
5721,Red
5992,Red
848,Red
4634,Red
232,Blue
878,Blue
3172,Red
2653,Blue
3543,Blue
3681,Red
6492,Red
5010,Blue
3615,Blue
5498,Red
1068,Red
1382,Red
2447,Red
3798,Red
4459,Red
3637,Blue
5291,Red
854,Red
38,Blue
3582,Red
5760,Red
4441,Red
2754,Red
2882,Red
1648,Red
1853,Blue
5003,Blue
1078,Blue
4401,Red
1627,Red
574,Red
811,Red
5448,Red
6041,Red
196,Red
1523,Red
373,Blue
3395,Blue
899,Red
6590,Red
4573,Blue
851,Red
2399,Blue
2807,Blue
1143,Blue
6138,Red
2601,Red
1887,Red
5152,Blue
6173,Red
5908,Red
2691,Blue
6423,Red
1343,Blue
4608,Red
3011,Blue
2233,Red
5454,Red
6602,Red
53,Red
5057,Red
5774,Red
1616,Blue
959,Blue
3530,Blue
4468,Red
5078,Red
457,Blue
4225,Blue
2568,Blue
6349,Red
6190,Red
145,Red
4956,Red
1787,Red
5696,Red
5934,Red
71,Blue
1440,Red
705,Blue
6613,Red
5726,Red
3462,Red
3373,Red
1467,Red
788,Blue
6350,Red
4007,Red
4244,Blue
1765,Blue
2840,Red
3703,Red
4793,Red
2020,Blue
372,Red
4079,Red
97,Red
6439,Red
5212,Red
6259,Red
5785,Red
272,Red
1063,Red
511,Blue
4371,Blue
4015,Blue
6638,Red
4314,Blue
5970,Red
5187,Red
2244,Blue
4868,Blue
2155,Blue
327,Red
5472,Red
6134,Red
1786,Blue
3035,Red
2684,Blue
4989,Red
3782,Red
3075,Blue
3365,Blue
4556,Blue
80,Blue
5357,Red
4046,Blue
5196,Red
3503,Red
2859,Blue
1008,Red
1850,Blue
3899,Red
260,Blue
3056,Red
3444,Red
1706,Blue
3410,Red
2768,Red
2256,Red
3237,Red
3277,Blue
2948,Red
4995,Blue
6662,Red
5182,Blue
4904,Blue
3096,Red
881,Blue
695,Red
3467,Blue
1743,Red
2098,Red
245,Red
5520,Red
3740,Red
5746,Red
3355,Blue
6053,Red
67,Blue
1414,Blue
1719,Red
6422,Red
4601,Red
43,Blue
4860,Red
2325,Red
4810,Red
153,Blue
3183,Blue
3238,Blue
3857,Red
2481,Blue
3284,Red
3951,Blue
4522,Red
6032,Red
4773,Red
6298,Red
5260,Red
3674,Red
1838,Red
4563,Red
1991,Red
1499,Red
2015,Blue
6656,Red
2030,Red
3259,Blue
3862,Blue
3658,Red
3080,Red
608,Red
3332,Blue
3073,Red
3605,Blue
500,Blue
3469,Red
1835,Red
2169,Red
1268,Red
3154,Red
173,Blue
816,Red
1034,Red
3824,Red
2966,Red
4560,Blue
4407,Red
6452,Red
269,Red
1714,Red
828,Red
3324,Red
3528,Blue
4259,Blue
1113,Blue
971,Red
4102,Red
1584,Red
2932,Blue
1183,Blue
5038,Blue
4248,Red
5892,Red
535,Blue
1148,Blue
1020,Blue
177,Red
2147,Red
2651,Blue
218,Blue
1483,Red
2957,Blue
2523,Blue
4317,Blue
4949,Red
2582,Red
931,Red
5996,Red
523,Red
6068,Red
195,Red
1908,Blue
1593,Blue
6605,Red
42,Red
5603,Red
1829,Red
1226,Red
1029,Red
5828,Red
2058,Blue
4646,Red
2085,Blue
6322,Red
6274,Red
5415,Red
753,Blue
2265,Blue
1323,Red
1089,Red
2712,Blue
4733,Blue
2188,Blue
6631,Red
4825,Red
6525,Red
3913,Blue
1590,Blue
3811,Red
6014,Red
4736,Red
561,Blue
3977,Red
4883,Red
6712,Red
6418,Red
6030,Red
2513,Red
787,Blue
5393,Red
4617,Blue
3523,Red
6437,Red
2973,Red
3442,Blue
5299,Blue
406,Blue
3929,Red
6550,Red
1964,Red
1640,Red
3931,Red
3825,Blue
6147,Red
1894,Red
5541,Red
357,Red
39,Red
1736,Red
6247,Red
1276,Red
1949,Red
1716,Red
5994,Red
3094,Red
1392,Red
6465,Red
3832,Red
1429,Red
1606,Red
6372,Red
6241,Red
6600,Red
5577,Red
5847,Red
1006,Blue
5848,Red
6535,Red
1564,Red
221,Blue
6611,Red
4553,Red
6436,Red
3753,Blue
2430,Blue
1534,Red
3445,Red
52,Red
950,Blue
3187,Blue
1319,Red
4731,Red
2067,Blue
2242,Red
4641,Red
1066,Red
2933,Red
3823,Blue
2970,Red
6029,Red
5658,Red
1257,Blue
6460,Red
2624,Red
3728,Red
1080,Blue
2439,Red
2494,Red
2488,Blue
2072,Red
3592,Blue
1023,Red
4307,Blue
4880,Blue
6061,Red
1732,Red
722,Red
4548,Red
6282,Red
465,Red
6212,Red
6334,Red
3746,Red
549,Blue
14,Red
2708,Blue
600,Red
246,Blue
1028,Red
4378,Red
5467,Red
3512,Red
5102,Blue
5856,Red
3025,Red
4255,Red
659,Red
3547,Blue
5085,Red
3922,Red
760,Blue
1897,Red
6081,Red
3201,Red
3054,Blue
625,Red
354,Blue
3452,Blue
5928,Red
5411,Blue
1770,Blue
4376,Blue
55,Red
1753,Blue
4517,Blue
5668,Red
1486,Red
3520,Blue
778,Red
1703,Red
3687,Blue
462,Red
469,Blue
2772,Red
2349,Red
624,Blue
432,Red
5582,Red
1278,Red
5538,Red
1670,Blue
2845,Red
4982,Red
2396,Red
1862,Red
894,Blue
613,Red
3628,Blue
2457,Red
2316,Red
3381,Red
4140,Red
2604,Blue
2643,Red
264,Blue
6083,Red
1721,Blue
6315,Red
4711,Blue
5238,Red
991,Blue
4638,Red
968,Red
6149,Red
1069,Red
2048,Blue
2463,Blue
4961,Red
4157,Red
6086,Red
5918,Red
3103,Blue
2886,Blue
4025,Blue
4580,Red
5677,Red
4078,Red
1699,Blue
2555,Blue
4723,Red
1171,Blue
4547,Red
5341,Red
1587,Red
6182,Red
2833,Red
3778,Red
1774,Red
937,Red
4863,Blue
3046,Blue
30,Red
847,Red
6324,Red
6245,Red
932,Blue
3339,Red
2924,Blue
6697,Red
1846,Blue
5901,Red
3257,Blue
3215,Red
4342,Blue
4382,Red
5135,Blue
2729,Red
3844,Red
5962,Red
397,Blue
822,Red
2087,Blue
656,Blue
5274,Blue
3555,Red
1350,Blue
896,Red
5684,Red
4282,Red
1473,Blue
4639,Red
6035,Red
3064,Red
3360,Red
4704,Blue
473,Red
771,Blue
6643,Red
339,Blue
958,Red
3805,Blue
5846,Red
6204,Red
5295,Blue
4290,Red
4297,Red
4657,Red
1711,Red
1058,Red
2010,Red
2438,Blue
4327,Blue
6058,Red
4986,Red
6556,Red
3755,Red
3810,Red
1901,Red
3975,Red
4443,Red
2630,Blue
5579,Red
5943,Red
4408,Blue
5674,Red
2851,Blue
1300,Red
1106,Red
4980,Blue
5372,Blue
4594,Blue
3932,Red
2418,Blue
3586,Blue
3509,Blue
2872,Blue
4564,Blue
4254,Blue
5945,Red
3141,Red
3325,Red
2554,Red
5170,Blue
599,Blue
2524,Red
6698,Red
6225,Red
5862,Red
3178,Red
5277,Red
4059,Red
1617,Red
5957,Red
1738,Red
5792,Red
6135,Red
1586,Red
3822,Red
181,Blue
3874,Blue
3926,Blue
5362,Red
4262,Blue
2059,Blue
3122,Blue
494,Blue
1805,Blue
5661,Red
1446,Blue
4577,Blue
1977,Red
2332,Blue
712,Red
4392,Red
5128,Red
3003,Red
5514,Red
4454,Red
2621,Red
6518,Red
3541,Red
743,Red
527,Blue
1263,Red
1247,Red
4670,Red
6234,Red
5734,Red
1923,Red
3895,Red
1963,Red
5398,Blue
4919,Red
4264,Red
2126,Red
616,Blue
3363,Blue
